scalar,RGB_r,RGB_g,RGB_b
0.8708414873,0.8536394802,0.8207879365,0.7855993082
0.8727984344,0.8556859387,0.8227019099,0.7873459622
0.8747553816,0.8577333497,0.8246167105,0.7890932821
0.8767123288,0.8597817120,0.8265323373,0.7908412671
0.8786692759,0.8618310243,0.8284487891,0.7925899164
0.8806262231,0.8638812855,0.8303660648,0.7943392292
0.8825831703,0.8659324943,0.8322841634,0.7960892044
0.8845401174,0.8679846495,0.8342030839,0.7978398414
0.8864970646,0.8700377498,0.8361228250,0.7995911392
0.8884540117,0.8720917942,0.8380433858,0.8013430971
0.8904109589,0.8741467813,0.8399647652,0.8030957141
0.8923679061,0.8762027099,0.8418869621,0.8048489894
0.8943248532,0.8782595789,0.8438099754,0.8066029223
0.8962818004,0.8803173871,0.8457338042,0.8083575118
0.8982387476,0.8823761332,0.8476584474,0.8101127572
0.9001956947,0.8844358162,0.8495839038,0.8118686575
0.9021526419,0.8864964347,0.8515101725,0.8136252121
0.9041095890,0.8885579877,0.8534372524,0.8153824200
0.9060665362,0.8906204739,0.8553651425,0.8171402804
0.9080234834,0.8926838921,0.8572938417,0.8188987925
0.9099804305,0.8947482413,0.8592233490,0.8206579555
0.9119373777,0.8968135202,0.8611536633,0.8224177687
0.9138943249,0.8988797277,0.8630847837,0.8241782310
0.9158512720,0.9009468626,0.8650167091,0.8259393419
0.9178082192,0.9030149237,0.8669494385,0.8277011003
0.9197651663,0.9050839099,0.8688829709,0.8294635057
0.9217221135,0.9071538201,0.8708173052,0.8312265570
0.9236790607,0.9092246531,0.8727524404,0.8329902536
0.9256360078,0.9112964077,0.8746883756,0.8347545947
0.9275929550,0.9133690829,0.8766251097,0.8365195794
0.9295499022,0.9154426774,0.8785626417,0.8382852069
0.9315068493,0.9175171902,0.8805009706,0.8400514765
0.9334637965,0.9195926201,0.8824400954,0.8418183873
0.9354207436,0.9216689660,0.8843800151,0.8435859386
0.9373776908,0.9237462268,0.8863207287,0.8453541296
0.9393346380,0.9258244013,0.8882622353,0.8471229595
0.9412915851,0.9279034885,0.8902045338,0.8488924276
0.9432485323,0.9299834871,0.8921476233,0.8506625330
0.9452054795,0.9320643962,0.8940915028,0.8524332749
0.9471624266,0.9341462146,0.8960361712,0.8542046526
0.9491193738,0.9362289412,0.8979816277,0.8559766654
0.9510763209,0.9383125749,0.8999278712,0.8577493124
0.9530332681,0.9403971146,0.9018749007,0.8595225929
0.9549902153,0.9424825592,0.9038227154,0.8612965061
0.9569471624,0.9445689076,0.9057713143,0.8630710513
0.9589041096,0.9466561587,0.9077206963,0.8648462276
